"Ngram","Freq"
"[。-そ-の-結]",20
"[。-グ-ラ-フ]",20
"[ー-ム-ペ-ー]",20
"[「-例-文-、]",20
"[」-で-す-。]",20
"[い-か-と-思]",20
"[い-た-だ-い]",20
"[い-て-紹-介]",20
"[い-ま-す-か]",20
"[え-ら-れ-る]",20
"[が-行-わ-れ]",20
"[が-分-か-り]",20
"[く-さ-ん-の]",20
"[け-る-こ-と]",20
"[こ-ち-ら-か]",20
"[し-て-き-た]",20
"[す-こ-と-が]",20
"[た-の-で-は]",20
"[ち-ら-か-ら]",20
"[つ-い-て-紹]",20
"[て-、-鳥-取]",20
"[で-、-鳥-取]",20
"[で-あ-っ-た]",20
"[と-か-ら-、]",20
"[と-し-て-の]",20
"[と-っ-て-は]",20
"[と-言-っ-て]",20
"[な-い-よ-う]",20
"[な-が-ら-、]",20
"[の-こ-と-で]",20
"[の-結-果-、]",20
"[の-高-齢-化]",20
"[ほ-と-ん-ど]",20
"[ま-す-。-私]",20
"[よ-う-で-す]",20
"[り-た-い-」]",20
"[る-た-め-の]",20
"[る-の-で-、]",20
"[れ-ぞ-れ-の]",20
"[を-行-っ-て]",20
"[を-使-っ-て]",20
"[ア-フ-タ-ー]",20
"[イ-ン-タ-ビ]",20
"[シ-ョ-ン-を]",20
"[ジ-ネ-ス-チ]",20
"[タ-ー-コ-ロ]",20
"[タ-ビ-ュ-ー]",20
"[ネ-ス-チ-ャ]",20
"[フ-タ-ー-コ]",20
"[プ-レ-ミ-ア]",20
"[ホ-ー-ム-ペ]",20
"[ム-ペ-ー-ジ]",20
"[レ-ポ-ー-ト]",20
"[レ-ミ-ア-ム]",20
"[ン-タ-ビ-ュ]",20
"[可-能-性-が]",20
"[考-え-る-と]",20
"[細-は-こ-ち]",20
"[詳-細-は-こ]",20
"[鳥-取-県-を]",20
"[I-N-E-で]",19
"[、-オ-ン-ラ]",19
"[、-鳥-取-市]",19
"[え-る-と-、]",19
"[か-と-思-い]",19
"[か-ら-で-す]",19
"[き-る-の-で]",19
"[ご-覧-く-だ]",19
"[さ-れ-ま-し]",19
"[し-て-お-り]",19
"[し-て-く-れ]",19
"[す-。-そ-ん]",19
"[だ-ろ-う-。]",19
"[っ-か-り-と]",19
"[て-き-て-い]",19
"[て-王-国-と]",19
"[な-の-で-は]",19
"[に-比-べ-て]",19
"[の-イ-ン-タ]",19
"[の-グ-ラ-フ]",19
"[の-記-事-で]",19
"[の-中-で-も]",19
"[ら-で-す-。]",19
"[イ-テ-ィ-ブ]",19
"[エ-イ-テ-ィ]",19
"[ク-リ-エ-イ]",19
"[ミ-レ-ニ-ア]",19
"[リ-エ-イ-テ]",19
"[王-国-と-っ]",19
"[記-事-で-は]",19
"[行-わ-れ-て]",19
"[国-と-っ-と]",19
"[最-低-賃-金]",19
"[取-県-に-は]",19
"[就-職-活-動]",19
"[少-し-で-も]",19
"[覧-く-だ-さ]",19
"[利-用-し-て]",19
"[G-o-T-o]",18
"[、-そ-し-て]",18
"[、-子-ど-も]",18
"[、-日-本-の]",18
"[。-鳥-取-の]",18
"[「-や-り-た]",18
"[あ-り-ま-し]",18
"[い-う-の-は]",18
"[い-の-で-す]",18
"[い-生-活-様]",18
