"Ngram","Freq"
"[原因-の]",4
"[減少-社会]",4
"[減少-率]",4
"[現金-払い]",4
"[現在-コロナ]",4
"[雇用-調整]",4
"[後-日本]",4
"[交換-コラボ]",4
"[交通-手段]",4
"[公共-足]",4
"[好き-こと]",4
"[幸い-鳥取]",4
"[講師-生徒]",4
"[高い-の]",4
"[高校-教員]",4
"[高度-経済]",4
"[高等-学校]",4
"[合計-特殊]",4
"[合同-会社]",4
"[国土-交通省]",4
"[今-以上]",4
"[今-仕事]",4
"[今後-鳥取]",4
"[差-こと]",4
"[最後-ここ]",4
"[最新-ビジネス]",4
"[在宅-勤務]",4
"[財団-鳥取]",4
"[作家-さん]",4
"[作業-効率]",4
"[冊-鳥取]",4
"[参考-記事]",4
"[仕事-図鑑]",4
"[使用-者]",4
"[子ども-人生]",4
"[子育て-世帯]",4
"[市町村-独自]",4
"[市内-飲食]",4
"[市民-割引]",4
"[支援-ため]",4
"[支援-鳥取]",4
"[私-こと]",4
"[私-自己]",4
"[私-周り]",4
"[私-地域]",4
"[資本-金]",4
"[事業-終了]",4
"[事業-展開]",4
"[字-回復]",4
"[時-鳥取]",4
"[時間-の]",4
"[時間-よう]",4
"[次-グラフ]",4
"[自粛-メモ]",4
"[自然-豊か]",4
"[自動-運転]",4
"[自分-ペース]",4
"[自分-事]",4
"[自分-成長]",4
"[自分-地域]",4
"[実装-例]",4
"[社会-保障]",4
"[社長-岩村]",4
"[者-1]",4
"[者-居住]",4
"[者-鳥取]",4
"[者-方々]",4
"[者-免許]",4
"[若桜-町]",4
"[若者-たち]",4
"[取り組み-県]",4
"[酒-蟹]",4
"[授業-オンライン]",4
"[秋田-県]",4
"[出身-者]",4
"[出生-率]",4
"[所在地-鳥取]",4
"[女性-やすい]",4
"[女性-下着]",4
"[除-菌]",4
"[商品-開発]",4
"[将-省]",4
"[小さい-こと]",4
"[松浦-さん]",4
"[省-統計]",4
"[象限-タイプ]",4
"[上位-3]",4
"[上記-以外]",4
"[上手い-活用]",4
"[場-こと]",4
"[情報-こと]",4
"[情報-格差]",4
"[情報-提供]",4
"[状況-中]",4
"[状況-鳥取]",4
