"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"2910","血圧",0,0,0,0,2,0,2
"2911","月間",1,0,0,1,0,0,2
"2912","兼子",2,0,0,0,0,0,2
"2913","建築",0,0,0,0,0,2,2
"2914","検温",2,0,0,0,0,0,2
"2915","検証",0,0,0,2,0,0,2
"2916","肩書",0,0,0,2,0,0,2
"2917","見積もり",2,0,0,0,0,0,2
"2918","見方",0,0,1,1,0,0,2
"2919","原動力",0,0,0,2,0,0,2
"2920","原理",2,0,0,0,0,0,2
"2921","減",2,0,0,0,0,0,2
"2922","現時点",1,0,0,0,0,1,2
"2923","限度",0,0,0,0,0,2,2
"2924","個々",1,0,0,0,0,1,2
"2925","個性",0,0,0,1,1,0,2
"2926","顧問",0,0,0,2,0,0,2
"2927","午後",0,0,0,1,0,1,2
"2928","午前",0,0,0,1,0,1,2
"2929","吾",2,0,0,0,0,0,2
"2930","後継",1,0,0,0,1,0,2
"2931","御礼",0,0,0,0,2,0,2
"2932","交付",1,0,0,0,0,1,2
"2933","光",0,0,0,2,0,0,2
"2934","公園",1,0,0,0,0,1,2
"2935","公募",1,0,0,0,0,1,2
"2936","功績",2,0,0,0,0,0,2
"2937","口座",2,0,0,0,0,0,2
"2938","向き",0,0,0,2,0,0,2
"2939","好ましい",1,0,0,1,0,0,2
"2940","好み",1,0,0,1,0,0,2
"2941","好奇",1,0,0,1,0,0,2
"2942","工夫",1,0,0,0,0,1,2
"2943","更",1,0,1,0,0,0,2
"2944","校長",0,0,0,2,0,0,2
"2945","江戸",2,0,0,0,0,0,2
"2946","航空機",2,0,0,0,0,0,2
"2947","荒波",0,0,0,1,1,0,2
"2948","講座",1,0,0,1,0,0,2
"2949","酵素",2,0,0,0,0,0,2
"2950","香港",0,0,0,2,0,0,2
"2951","高学年",2,0,0,0,0,0,2
"2952","高額",0,0,1,0,0,1,2
"2953","高卒",0,0,0,2,0,0,2
"2954","合意",2,0,0,0,0,0,2
"2955","合致",2,0,0,0,0,0,2
"2956","豪華",1,0,0,0,1,0,2
"2957","克服",0,0,0,0,0,2,2
"2958","国勢調査",0,0,2,0,0,0,2
"2959","黒死病",0,0,0,2,0,0,2
"2960","黒字",0,0,0,2,0,0,2
"2961","黒板",0,0,0,2,0,0,2
"2962","今度",0,0,1,0,0,1,2
"2963","些細",0,0,0,2,0,0,2
"2964","左",2,0,0,0,0,0,2
"2965","差異",1,0,1,0,0,0,2
"2966","砂",1,0,0,0,0,1,2
"2967","催し物",0,0,0,0,2,0,2
"2968","再興",2,0,0,0,0,0,2
"2969","再建",2,0,0,0,0,0,2
"2970","最寄り駅",0,0,1,0,0,1,2
"2971","最期",0,0,0,2,0,0,2
"2972","最小",0,0,1,1,0,0,2
"2973","最先端",1,0,0,1,0,0,2
"2974","最前線",2,0,0,0,0,0,2
"2975","最速",2,0,0,0,0,0,2
"2976","最年少",1,0,0,0,1,0,2
"2977","妻",1,0,0,0,0,1,2
"2978","採取",0,0,0,0,2,0,2
"2979","裁量",0,0,0,2,0,0,2
"2980","在住",0,0,1,1,0,0,2
"2981","材料",1,0,0,1,0,0,2
"2982","作り方",2,0,0,0,0,0,2
"2983","作品",0,1,0,1,0,0,2
"2984","昨日",0,0,0,1,1,0,2
"2985","策定",1,0,0,0,1,0,2
"2986","山陰本線",2,0,0,0,0,0,2
"2987","山本",2,0,0,0,0,0,2
"2988","酸素",1,0,0,1,0,0,2
"2989","残業",0,0,1,1,0,0,2
"2990","残高",2,0,0,0,0,0,2
"2991","仕事場",1,0,0,1,0,0,2
"2992","仕様",2,0,0,0,0,0,2
"2993","使い方",2,0,0,0,0,0,2
"2994","市区",0,0,2,0,0,0,2
"2995","志向",1,0,0,1,0,0,2
"2996","思い出",0,0,0,0,0,2,2
"2997","思想",1,1,0,0,0,0,2
"2998","指",1,0,0,0,0,1,2
"2999","支持",2,0,0,0,0,0,2
"3000","死",0,0,0,2,0,0,2
"3001","視察",0,0,0,2,0,0,2
"3002","試み",0,0,0,2,0,0,2
"3003","試飲",0,0,0,0,2,0,2
"3004","試験",2,0,0,0,0,0,2
"3005","試行",0,0,0,2,0,0,2
"3006","資機材",0,0,0,2,0,0,2
"3007","事業主",0,0,0,2,0,0,2
"3008","持参",0,0,0,0,0,2,2
"3009","時価",0,0,0,2,0,0,2
"3010","次回",2,0,0,0,0,0,2
"3011","自治",1,0,1,0,0,0,2
"3012","自主",0,0,1,1,0,0,2
"3013","自転車",0,0,1,0,0,1,2
"3014","自動的",2,0,0,0,0,0,2
"3015","自負",1,0,0,0,1,0,2
"3016","鹿",0,0,0,0,2,0,2
"3017","疾患",1,0,0,1,0,0,2
"3018","実業",0,0,0,1,1,0,2
"3019","実証",2,0,0,0,0,0,2
"3020","社外",1,0,0,0,1,0,2
"3021","社名",1,0,0,0,1,0,2
"3022","借入",0,0,0,0,0,2,2
"3023","若葉台南",2,0,0,0,0,0,2
"3024","弱い",1,0,0,0,0,1,2
"3025","主義",0,0,0,2,0,0,2
"3026","主流",1,0,1,0,0,0,2
"3027","取扱",0,0,0,0,1,1,2
"3028","取組",0,0,2,0,0,0,2
"3029","手元",1,0,0,0,0,1,2
"3030","手仕事",0,2,0,0,0,0,2
"3031","手打ち",0,0,0,0,0,2,2
"3032","手袋",2,0,0,0,0,0,2
"3033","種",1,0,0,1,0,0,2
"3034","酒税",2,0,0,0,0,0,2
"3035","首都",1,0,1,0,0,0,2
"3036","受託",2,0,0,0,0,0,2
"3037","収容",1,0,0,1,0,0,2
"3038","周辺",0,0,1,1,0,0,2
"3039","周遊",2,0,0,0,0,0,2
"3040","秀一郎",2,0,0,0,0,0,2
"3041","終焉",0,0,0,2,0,0,2
"3042","週末",0,0,0,2,0,0,2
"3043","従兄",0,0,0,2,0,0,2
"3044","重い",1,0,0,0,1,0,2
"3045","祝日",0,0,0,0,0,2,2
"3046","出勤",1,0,0,1,0,0,2
"3047","出版",0,0,0,1,0,1,2
"3048","出来事",1,0,0,1,0,0,2
"3049","俊博",2,0,0,0,0,0,2
"3050","春休み",0,0,1,1,0,0,2
"3051","旬",0,0,0,1,0,1,2
"3052","順",0,0,1,0,0,1,2
"3053","初期",0,0,0,0,0,2,2
"3054","初心者",2,0,0,0,0,0,2
"3055","書類",1,0,0,0,0,1,2
"3056","商工",0,1,0,1,0,0,2
"3057","小規模",0,0,0,1,0,1,2
"3058","小児",0,0,0,0,0,2,2
"3059","小中",1,0,0,1,0,0,2
"3060","小売り",0,0,2,0,0,0,2
"3061","小麦",0,0,0,0,2,0,2
"3062","松山",0,0,0,0,0,2,2
"3063","消極",0,0,0,2,0,0,2
"3064","焦点",1,0,1,0,0,0,2
"3065","上がり",2,0,0,0,0,0,2
"3066","常態",0,0,0,2,0,0,2
"3067","職域",0,0,0,0,0,2,2
"3068","職務",0,0,0,2,0,0,2
"3069","心意気",2,0,0,0,0,0,2
"3070","心身",0,0,0,2,0,0,2
"3071","新設",0,0,0,1,1,0,2
"3072","新聞",1,0,0,1,0,0,2
"3073","森林",0,0,2,0,0,0,2
"3074","真っ先",1,0,0,1,0,0,2
"3075","真似",0,0,0,1,1,0,2
"3076","親会社",2,0,0,0,0,0,2
"3077","親孝行",0,0,0,2,0,0,2
"3078","親族",0,0,0,0,0,2,2
"3079","診断",2,0,0,0,0,0,2
"3080","辛い",1,0,0,1,0,0,2
"3081","進化",2,0,0,0,0,0,2
"3082","進学校",0,0,0,2,0,0,2
"3083","進展",0,0,0,2,0,0,2
"3084","人柄",0,0,0,2,0,0,2
"3085","尽力",2,0,0,0,0,0,2
"3086","推奨",0,0,0,1,0,1,2
"3087","推定",0,0,2,0,0,0,2
"3088","随時",1,0,0,0,1,0,2
"3089","世間",0,0,1,0,0,1,2
"3090","性質",2,0,0,0,0,0,2
"3091","成り立ち",2,0,0,0,0,0,2
"3092","成績",1,0,0,1,0,0,2
"3093","成分",0,0,1,0,1,0,2
"3094","星取",1,0,1,0,0,0,2
"3095","星野",2,0,0,0,0,0,2
"3096","晴久",0,0,0,2,0,0,2
"3097","正確",1,0,0,0,0,1,2
"3098","正体",0,0,0,2,0,0,2
"3099","生きがい",0,0,0,2,0,0,2
"3100","生育",2,0,0,0,0,0,2
"3101","生物",2,0,0,0,0,0,2
"3102","製材",2,0,0,0,0,0,2
"3103","静か",1,0,0,1,0,0,2
"3104","税収",1,0,0,1,0,0,2
"3105","積分",0,0,0,2,0,0,2
"3106","責務",1,0,0,1,0,0,2
"3107","赤崎",0,0,0,0,0,2,2
"3108","赤字",1,0,0,1,0,0,2
"3109","接続",2,0,0,0,0,0,2
"3110","接待",2,0,0,0,0,0,2
"3111","節約",2,0,0,0,0,0,2
"3112","先述",0,1,0,1,0,0,2
"3113","先端",0,0,0,2,0,0,2
"3114","千代川",2,0,0,0,0,0,2
"3115","専用",0,0,0,0,2,0,2
"3116","戦い",0,0,0,2,0,0,2
"3117","選抜",0,0,0,2,0,0,2
"3118","選別",1,0,0,1,0,0,2
"3119","前後",0,0,0,0,0,2,2
"3120","前者",1,0,1,0,0,0,2
"3121","全額",0,0,0,0,0,2,2
"3122","全面",0,0,0,1,0,1,2
"3123","疎通",1,0,0,1,0,0,2
"3124","素早い",1,0,0,0,0,1,2
"3125","素敵",1,0,0,0,1,0,2
"3126","早急",1,0,1,0,0,0,2
"3127","相互",2,0,0,0,0,0,2
"3128","総数",0,0,1,0,0,1,2
"3129","草",0,0,1,1,0,0,2
"3130","送別",0,0,0,0,2,0,2
"3131","息子",0,0,0,2,0,0,2
"3132","測量",2,0,0,0,0,0,2
"3133","存続",1,0,1,0,0,0,2
"3134","多子",0,0,0,0,0,2,2
"3135","妥協",0,0,0,1,1,0,2
"3136","打ち合わせ",1,0,0,1,0,0,2
"3137","滞在",0,0,2,0,0,0,2
"3138","代行",1,0,0,1,0,0,2
"3139","代謝",2,0,0,0,0,0,2
"3140","代目",2,0,0,0,0,0,2
"3141","大学前",0,0,2,0,0,0,2
"3142","大好き",1,0,0,1,0,0,2
"3143","大国",2,0,0,0,0,0,2
"3144","大臣",2,0,0,0,0,0,2
"3145","大相撲",0,0,0,2,0,0,2
"3146","大平",0,0,0,0,0,2,2
"3147","宅配",2,0,0,0,0,0,2
"3148","択",0,0,0,2,0,0,2
"3149","谷",0,2,0,0,0,0,2
"3150","誰か",1,0,0,1,0,0,2
"3151","単語",2,0,0,0,0,0,2
"3152","単身",0,0,1,1,0,0,2
"3153","担い手",1,0,0,0,0,1,2
"3154","断念",0,0,0,2,0,0,2
"3155","値段",2,0,0,0,0,0,2
"3156","知能",0,0,0,2,0,0,2
"3157","地名",2,0,0,0,0,0,2
"3158","智之",2,0,0,0,0,0,2
"3159","遅れ",2,0,0,0,0,0,2
"3160","遅延",2,0,0,0,0,0,2
"3161","中央",1,0,0,0,0,1,2
"3162","中高",0,0,0,2,0,0,2
"3163","仲介",2,0,0,0,0,0,2
"3164","昼",1,0,0,1,0,0,2
"3165","柱",0,0,0,1,1,0,2
"3166","貯蓄",2,0,0,0,0,0,2
"3167","丁目",2,0,0,0,0,0,2
"3168","兆し",0,0,0,0,2,0,2
"3169","町村",0,0,2,0,0,0,2
"3170","長",1,0,0,0,1,0,2
"3171","直近",0,0,1,1,0,0,2
"3172","直売",0,0,0,0,0,2,2
"3173","追い風",1,0,0,1,0,0,2
"3174","通院",1,0,0,0,0,1,2
"3175","停滞",2,0,0,0,0,0,2
"3176","定型",0,0,0,2,0,0,2
"3177","定刻",1,0,0,1,0,0,2
"3178","定年",0,0,0,2,0,0,2
"3179","提出",0,0,0,1,0,1,2
"3180","天塩",2,0,0,0,0,0,2
"3181","天気",0,0,2,0,0,0,2
"3182","転勤",1,0,1,0,0,0,2
"3183","点検",2,0,0,0,0,0,2
"3184","伝説",0,0,0,0,2,0,2
"3185","電車",0,0,1,1,0,0,2
"3186","斗",2,0,0,0,0,0,2
"3187","登校",1,0,0,1,0,0,2
"3188","途上",0,0,0,2,0,0,2
"3189","都",0,0,2,0,0,0,2
"3190","都心",1,0,0,1,0,0,2
"3191","度合い",1,0,1,0,0,0,2
"3192","土",0,0,0,0,0,2,2
"3193","土曜日",2,0,0,0,0,0,2
"3194","東",1,0,0,1,0,0,2
"3195","東京大学",0,0,0,2,0,0,2
"3196","東太田",2,0,0,0,0,0,2
"3197","東南アジア",1,0,0,1,0,0,2
"3198","当地",1,0,0,0,0,1,2
"3199","等しい",1,0,1,0,0,0,2
"3200","同月",0,0,2,0,0,0,2
"3201","同時",2,0,0,0,0,0,2
"3202","同等",0,0,0,2,0,0,2
"3203","道具",0,0,0,2,0,0,2
"3204","道府県",2,0,0,0,0,0,2
"3205","得点",0,0,0,0,0,2,2
"3206","特産",2,0,0,0,0,0,2
"3207","特色",2,0,0,0,0,0,2
"3208","特典",1,0,0,0,0,1,2
"3209","読み",0,0,2,0,0,0,2
"3210","読本",2,0,0,0,0,0,2
"3211","突破",1,0,0,0,0,1,2
"3212","奈良",0,0,0,0,2,0,2
"3213","内の人",0,0,1,0,0,1,2
"3214","内外",1,0,1,0,0,0,2
"3215","南町",0,0,0,0,0,2,2
"3216","二郎",2,0,0,0,0,0,2
"3217","賑わい",1,0,1,0,0,0,2
"3218","肉",0,0,0,0,0,2,2
"3219","日時",0,0,0,0,1,1,2
"3220","日曜日",0,0,0,1,0,1,2
"3221","乳業",0,0,0,0,0,2,2
"3222","入り口",1,0,0,1,0,0,2
"3223","入居",2,0,0,0,0,0,2
"3224","如何",0,0,0,2,0,0,2
"3225","任命",2,0,0,0,0,0,2
"3226","熱い",0,0,0,2,0,0,2
"3227","年々",0,0,0,1,0,1,2
"3228","悩み",0,0,0,1,1,0,2
"3229","濃度",0,0,0,0,2,0,2
"3230","農産",1,0,0,0,1,0,2
"3231","農産物",2,0,0,0,0,0,2
"3232","農林",1,0,0,0,0,1,2
"3233","杯",0,0,0,0,1,1,2
"3234","配偶",1,0,0,0,0,1,2
"3235","配分",0,0,0,2,0,0,2
"3236","媒介",0,0,0,0,2,0,2
"3237","売り手",1,0,1,0,0,0,2
"3238","売却",0,0,2,0,0,0,2
"3239","泊",0,0,0,0,0,2,2
"3240","白",0,0,0,1,0,1,2
"3241","八",1,0,0,0,1,0,2
"3242","発言",1,0,0,1,0,0,2
"3243","発令",0,0,0,2,0,0,2
"3244","半年",0,0,1,0,1,0,2
"3245","板持",2,0,0,0,0,0,2
"3246","番号",2,0,0,0,0,0,2
"3247","番地",1,0,0,0,1,0,2
"3248","彼女ら",0,0,1,1,0,0,2
"3249","悲歎",0,0,0,2,0,0,2
"3250","疲弊",0,0,0,2,0,0,2
"3251","飛行機",2,0,0,0,0,0,2
"3252","美しい",2,0,0,0,0,0,2
"3253","筆者",1,0,0,1,0,0,2
"3254","表記",0,0,0,0,2,0,2
"3255","表示",2,0,0,0,0,0,2
"3256","表情",0,0,0,2,0,0,2
"3257","頻度",0,0,2,0,0,0,2
"3258","頻繁",2,0,0,0,0,0,2
"3259","敏感",0,0,1,1,0,0,2
"3260","不安定",1,0,0,1,0,0,2
"3261","不条理",0,0,0,2,0,0,2
"3262","不振",2,0,0,0,0,0,2
"3263","不透明",1,0,0,1,0,0,2
"3264","不妊",0,0,0,0,0,2,2
"3265","不能",0,0,0,2,0,0,2
"3266","付帯",2,0,0,0,0,0,2
"3267","付添い",0,0,0,2,0,0,2
"3268","夫",2,0,0,0,0,0,2
"3269","敷地",1,0,1,0,0,0,2
"3270","普通",1,0,0,1,0,0,2
"3271","副業",0,0,0,2,0,0,2
"3272","物心",0,0,0,2,0,0,2
"3273","物流",0,0,0,2,0,0,2
"3274","分岐",2,0,0,0,0,0,2
"3275","分子",2,0,0,0,0,0,2
"3276","分配",0,0,1,1,0,0,2
"3277","文化財",2,0,0,0,0,0,2
"3278","文学",0,0,0,2,0,0,2
"3279","文句",0,0,0,2,0,0,2
"3280","文芸",2,0,0,0,0,0,2
"3281","文字数",2,0,0,0,0,0,2
"3282","文字通り",0,0,1,0,0,1,2
"3283","文書",1,0,0,1,0,0,2
"3284","文部",0,0,0,2,0,0,2
"3285","文房具",0,0,0,2,0,0,2
"3286","聞き手",2,0,0,0,0,0,2
"3287","併用",0,0,0,0,0,2,2
"3288","兵庫",1,0,1,0,0,0,2
"3289","平日",0,0,0,0,0,2,2
"3290","並み",1,0,0,1,0,0,2
"3291","閉塞",0,0,0,2,0,0,2
"3292","閉店",1,0,0,0,0,1,2
"3293","米",0,0,0,0,0,2,2
"3294","偏り",0,0,1,1,0,0,2
"3295","変貌",1,0,0,0,1,0,2
"3296","片隅",2,0,0,0,0,0,2
"3297","片付け",2,0,0,0,0,0,2
"3298","勉学",0,0,0,1,0,1,2
"3299","保健",1,0,0,1,0,0,2
"3300","保証",2,0,0,0,0,0,2
"3301","歩",2,0,0,0,0,0,2
"3302","補給",1,0,0,0,1,0,2
"3303","放題",0,0,0,1,0,1,2
"3304","望ましい",2,0,0,0,0,0,2
"3305","膨大",1,0,0,1,0,0,2
"3306","北岡本",0,0,0,0,2,0,2
"3307","北村",2,0,0,0,0,0,2
"3308","僕ら",0,0,0,1,1,0,2
"3309","本音",0,0,0,0,0,2,2
"3310","本格",0,0,0,0,0,2,2
"3311","本業",0,0,0,1,0,1,2
"3312","本県",0,0,0,0,0,2,2
"3313","本編",0,0,0,1,0,1,2
"3314","枚数",1,0,0,0,0,1,2
"3315","毎",1,0,0,0,1,0,2
"3316","毎回",1,0,0,0,1,0,2
"3317","毎週",2,0,0,0,0,0,2
"3318","毎朝",0,0,0,1,0,1,2
"3319","万全",0,0,0,1,0,1,2
"3320","味噌",2,0,0,0,0,0,2
"3321","民",2,0,0,0,0,0,2
"3322","民法",2,0,0,0,0,0,2
"3323","無線",2,0,0,0,0,0,2
"3324","明",2,0,0,0,0,0,2
"3325","明示",1,0,0,1,0,0,2
"3326","明日",0,0,0,1,0,1,2
"3327","模倣",1,0,0,1,0,0,2
"3328","模様",2,0,0,0,0,0,2
"3329","網",0,0,1,0,0,1,2
"3330","木部",2,0,0,0,0,0,2
"3331","目線",1,0,0,1,0,0,2
"3332","問い合わせ",2,0,0,0,0,0,2
"3333","問診",0,0,0,0,2,0,2
"3334","門",0,0,0,0,0,2,2
"3335","野生",0,0,0,0,2,0,2
"3336","矢印",2,0,0,0,0,0,2
"3337","輸出",2,0,0,0,0,0,2
"3338","友人",0,0,0,1,0,1,2
"3339","有志",0,0,0,2,0,0,2
"3340","有償",0,0,0,2,0,0,2
"3341","猶予",2,0,0,0,0,0,2
"3342","余地",1,0,0,1,0,0,2
"3343","幼少",0,0,0,1,1,0,2
"3344","曜日",2,0,0,0,0,0,2
"3345","用水路",0,0,0,2,0,0,2
"3346","要",0,0,0,1,0,1,2
"3347","要件",1,0,0,1,0,0,2
"3348","要望",2,0,0,0,0,0,2
"3349","要領",1,0,0,1,0,0,2
"3350","養成",1,0,0,1,0,0,2
"3351","欲求",0,0,0,2,0,0,2
"3352","翌日",1,0,0,1,0,0,2
"3353","来客",1,0,0,1,0,0,2
"3354","来場",0,0,0,2,0,0,2
"3355","落ち込み",1,0,0,0,0,1,2
"3356","落胤",2,0,0,0,0,0,2
"3357","落札",0,0,0,0,2,0,2
"3358","立ち",0,0,0,0,2,0,2
"3359","流通",2,0,0,0,0,0,2
"3360","留学",1,0,0,1,0,0,2
"3361","旅館",1,0,0,0,0,1,2
"3362","両立",0,0,0,2,0,0,2
"3363","寮",1,0,0,1,0,0,2
"3364","林業",0,0,2,0,0,0,2
"3365","隣",0,0,0,1,1,0,2
"3366","例外",0,0,1,0,1,0,2
"3367","齢",2,0,0,0,0,0,2
"3368","恋愛",0,0,0,2,0,0,2
"3369","路",2,0,0,0,0,0,2
"3370","労力",2,0,0,0,0,0,2
"3371","老子",2,0,0,0,0,0,2
"3372","壺井",2,0,0,0,0,0,2
"3373","曖昧",0,0,0,2,0,0,2
"3374","ー",1,0,0,1,0,0,2
"3375","00",0,0,0,0,0,1,1
"3376","014",0,0,1,0,0,0,1
"3377","1013",0,0,0,0,0,1,1
"3378","103",0,0,0,0,0,1,1
"3379","1093",0,0,0,0,0,1,1
"3380","10980",1,0,0,0,0,0,1
"3381","1100",0,0,0,1,0,0,1
"3382","1114",1,0,0,0,0,0,1
"3383","120",0,0,0,1,0,0,1
"3384","1262",0,0,0,0,0,1,1
"3385","1４",1,0,0,0,0,0,1
"3386","140",1,0,0,0,0,0,1
"3387","1407",1,0,0,0,0,0,1
"3388","1415",0,0,0,0,0,1,1
"3389","1516",1,0,0,0,0,0,1
"3390","152",0,0,0,1,0,0,1
"3391","154",0,0,0,0,1,0,1
"3392","157",0,0,0,1,0,0,1
"3393","159",0,0,0,0,1,0,1
"3394","162",0,0,0,0,1,0,1
"3395","1741",0,0,1,0,0,0,1
"3396","175",1,0,0,0,0,0,1
"3397","1757",0,0,1,0,0,0,1
"3398","179",0,0,1,0,0,0,1
"3399","1８",0,1,0,0,0,0,1
"3400","1800",0,0,0,0,0,1,1
"3401","1964",0,0,0,0,1,0,1
"3402","1970",0,0,0,1,0,0,1
"3403","1981",1,0,0,0,0,0,1
"3404","1986",0,0,0,0,1,0,1
"3405","1991",0,0,1,0,0,0,1
"3406","1997",0,0,0,1,0,0,1
"3407","2001",1,0,0,0,0,0,1
"3408","2004",1,0,0,0,0,0,1
"3409","2005",0,0,0,0,1,0,1
"3410","2013",0,0,1,0,0,0,1
"3411","2025",0,0,0,1,0,0,1
"3412","2060",1,0,0,0,0,0,1
"3413","216",0,0,0,0,0,1,1
"3414","2200",0,0,1,0,0,0,1
"3415","232",0,0,1,0,0,0,1
"3416","2382",1,0,0,0,0,0,1
"3417","252",0,0,0,0,1,0,1
"3418","2580",0,0,0,0,0,1,1
"3419","2602",0,0,1,0,0,0,1
"3420","270",0,0,0,0,0,1,1
"3421","2700",0,0,0,0,0,1,1
"3422","282",0,0,0,1,0,0,1
"3423","2850",1,0,0,0,0,0,1
"3424","2900",0,0,1,0,0,0,1
"3425","２月",0,0,0,1,0,0,1
"3426","30004000",0,0,0,0,0,1,1
"3427","3035",1,0,0,0,0,0,1
"3428","3040",0,0,0,0,1,0,1
"3429","32",1,0,0,0,0,0,1
"3430","3500",0,0,0,0,0,1,1
"3431","3554",0,0,1,0,0,0,1
"3432","3602",0,0,0,0,1,0,1
"3433","39",0,0,1,0,0,0,1
"3434","390",0,0,1,0,0,0,1
"3435","4090",0,0,0,0,1,0,1
"3436","419",1,0,0,0,0,0,1
"3437","42",0,0,0,1,0,0,1
"3438","420",1,0,0,0,0,0,1
"3439","424",0,0,0,1,0,0,1
"3440","428",1,0,0,0,0,0,1
"3441","4500",1,0,0,0,0,0,1
"3442","470",1,0,0,0,0,0,1
"3443","48",1,0,0,0,0,0,1
"3444","503",1,0,0,0,0,0,1
"3445","523",0,0,1,0,0,0,1
"3446","53",1,0,0,0,0,0,1
"3447","530",0,0,0,0,0,1,1
"3448","55",0,0,0,1,0,0,1
"3449","5575",0,0,1,0,0,0,1
"3450","57",1,0,0,0,0,0,1
"3451","6069",1,0,0,0,0,0,1
"3452","622",0,0,1,0,0,0,1
"3453","63",1,0,0,0,0,0,1
"3454","649",0,0,1,0,0,0,1
"3455","662",1,0,0,0,0,0,1
"3456","67",0,0,0,0,0,1,1
"3457","678",0,0,0,1,0,0,1
"3458","68",0,0,0,1,0,0,1
"3459","６月",0,0,0,0,1,0,1
"3460","7000",0,0,0,0,0,1,1
"3461","709",1,0,0,0,0,0,1
"3462","773",1,0,0,0,0,0,1
"3463","78",1,0,0,0,0,0,1
"3464","783",0,0,1,0,0,0,1
"3465","793",0,0,0,0,1,0,1
"3466","794",0,0,0,0,0,1,1
"3467","808",0,0,1,0,0,0,1
"3468","81",0,0,1,0,0,0,1
"3469","810",1,0,0,0,0,0,1
"3470","85",0,0,1,0,0,0,1
"3471","850",1,0,0,0,0,0,1
"3472","86",0,0,0,0,0,1,1
"3473","862",1,0,0,0,0,0,1
"3474","88",1,0,0,0,0,0,1
"3475","896",0,0,1,0,0,0,1
"3476","896411",0,0,1,0,0,0,1
"3477","８つ",1,0,0,0,0,0,1
"3478","８月",0,0,0,1,0,0,1
"3479","915",1,0,0,0,0,0,1
"3480","9240",1,0,0,0,0,0,1
"3481","924482",0,0,1,0,0,0,1
"3482","931",1,0,0,0,0,0,1
"3483","945",0,0,0,1,0,0,1
"3484","950",1,0,0,0,0,0,1
"3485","a",0,0,0,1,0,0,1
"3486","Action",1,0,0,0,0,0,1
"3487","Adobe",0,0,0,1,0,0,1
"3488","Air",1,0,0,0,0,0,1
"3489","Ambiguity",0,0,0,1,0,0,1
"3490","ANA",0,0,0,0,0,1,1
"3491","AOI",0,0,0,1,0,0,1
"3492","as",0,0,0,1,0,0,1
"3493","ａｕ",0,0,0,1,0,0,1
"3494","auPay",1,0,0,0,0,0,1
"3495","BIJINES",0,0,0,0,0,1,1
"3496","ＢＩＫＡＩ",0,0,0,0,1,0,1
"3497","BLESS",0,0,0,0,0,1,1
"3498","BUSINES",0,0,0,0,0,1,1
"3499","Business",1,0,0,0,0,0,1
"3500","℃",0,0,0,0,1,0,1
"3501","CAPITAL",0,0,0,1,0,0,1
"3502","Challenging",0,0,0,1,0,0,1
"3503","Check",1,0,0,0,0,0,1
"3504","Classroom",0,0,0,1,0,0,1
"3505","㎝",0,0,0,0,1,0,1
"3506","Coaching",0,0,0,1,0,0,1
"3507","Complexity",0,0,0,1,0,0,1
"3508","Concept",1,0,0,0,0,0,1
"3509","ＣＯＯ",0,0,0,1,0,0,1
"3510","coronavirus",0,0,0,0,0,1,1
"3511","Creativity",1,0,0,0,0,0,1
"3512","CRM",1,0,0,0,0,0,1
"3513","demi",0,0,0,1,0,0,1
"3514","DeNA",1,0,0,0,0,0,1
"3515","disease",0,0,0,0,0,1,1
"3516","DIY",0,0,0,1,0,0,1
"3517","Do",1,0,0,0,0,0,1
"3518","DS",0,0,0,1,0,0,1
"3519","DX",1,0,0,0,0,0,1
"3520","e",1,0,0,0,0,0,1
"3521","Education",0,0,0,1,0,0,1
"3522","Eight",0,0,0,1,0,0,1
"3523","Enterprise",1,0,0,0,0,0,1
"3524","etc",1,0,0,0,0,0,1
"3525","Excel",0,0,0,1,0,0,1
"3526","EY",0,0,0,1,0,0,1
"3527","F",0,0,0,1,0,0,1
"3528","Fes",0,0,0,0,1,0,1
"3529","Fi",0,0,0,1,0,0,1
"3530","for",0,0,0,1,0,0,1
"3531","For",1,0,0,0,0,0,1
"3532","Form",0,0,0,1,0,0,1
"3533","GARDEN",0,0,0,0,0,1,1
"3534","GOOD",0,0,0,0,0,1,1
"3535","GoTo",0,0,0,0,0,1,1
"3536","GPS",1,0,0,0,0,0,1
"3537","Grid",1,0,0,0,0,0,1
"3538","GW",0,0,0,1,0,0,1
"3539","happy",1,0,0,0,0,0,1
"3540","Holdings",0,0,0,1,0,0,1
"3541","ＩＣＴ",0,0,0,1,0,0,1
"3542","iD",1,0,0,0,0,0,1
"3543","IJU",0,0,0,0,0,1,1
"3544","Illustrator",0,0,0,1,0,0,1
"3545","IMD",0,0,0,1,0,0,1
"3546","information",1,0,0,0,0,0,1
"3547","Internet",1,0,0,0,0,0,1
"3548","IOT",1,0,0,0,0,0,1
"3549","iPhone",0,0,1,0,0,0,1
"3550","is",0,0,0,1,0,0,1
"3551","J",0,0,0,0,0,1,1
"3552","JA",0,0,0,0,1,0,1
"3553","Japan",0,0,0,0,1,0,1
"3554","JASDA",1,0,0,0,0,0,1
"3555","Java",0,0,0,1,0,0,1
"3556","JCB",1,0,0,0,0,0,1
"3557","job",1,0,0,0,0,0,1
"3558","K",0,0,0,1,0,0,1
"3559","KDDI",1,0,0,0,0,0,1
"3560","KIREIMO",1,0,0,0,0,0,1
"3561","LASSIC",1,0,0,0,0,0,1
