"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"238","医療",2,0,2,22,1,9,36
"239","言葉",15,0,7,9,1,4,36
"240","重要",24,0,0,9,2,1,36
"241","場",10,0,0,14,5,7,36
"242","賃金",13,0,1,3,0,19,36
"243","それぞれ",18,1,4,8,0,4,35
"244","ところ",12,0,6,12,1,4,35
"245","億",12,0,3,18,0,2,35
"246","夏",0,0,3,22,0,10,35
"247","基本",16,0,5,8,0,6,35
"248","交換",9,0,0,22,1,3,35
"249","効果",19,0,13,3,0,0,35
"250","市場",22,0,7,4,1,1,35
"251","自己",3,1,0,30,0,1,35
"252","人材",19,0,0,15,0,1,35
"253","不足",18,0,9,1,6,1,35
"254","負担",7,0,1,13,0,14,35
"255","方々",15,1,4,6,7,2,35
"256","名刺",5,0,0,28,0,2,35
"257","V",2,0,29,3,0,0,34
"258","プロジェクト",12,0,0,16,6,0,34
"259","蟹",0,0,1,0,33,0,34
"260","期間",17,0,4,0,1,12,34
"261","気",14,0,3,9,3,5,34
"262","決済",30,0,2,0,0,2,34
"263","行政",10,1,1,10,1,11,34
"264","奨学",0,0,2,2,0,30,34
"265","中高生",0,0,0,34,0,0,34
"266","中心",15,1,3,7,1,7,34
"267","内",4,0,5,13,1,11,34
"268","話",11,0,8,14,0,1,34
"269","サイト",10,0,5,4,8,6,33
"270","づくり",12,4,8,4,4,1,33
"271","メリット",20,0,3,3,1,6,33
"272","引用",6,0,27,0,0,0,33
"273","解決",10,0,2,15,2,4,33
"274","従業",29,0,1,3,0,0,33
"275","面",15,0,7,4,0,7,33
"276","予想",18,0,12,1,0,2,33
"277","例",17,0,0,9,0,7,33
"278","歴史",26,1,0,4,1,1,33
"279","ONLINE",5,1,10,1,6,9,32
"280","TOTTORI",5,1,10,1,6,9,32
"281","Web",28,0,2,0,0,2,32
"282","スマート",1,0,30,1,0,0,32
"283","とき",18,0,3,3,1,7,32
"284","フォン",1,0,30,1,0,0,32
"285","回",12,0,0,16,1,3,32
"286","視点",15,0,7,10,0,0,32
"287","前",13,0,4,12,0,3,32
"288","挑戦",15,4,0,8,3,2,32
"289","提供",13,0,4,6,3,6,32
"290","２",12,0,0,7,4,8,31
"291","IoT",27,0,1,3,0,0,31
"292","Project",0,0,0,31,0,0,31
"293","ごと",6,0,13,5,1,6,31
"294","家",11,0,4,8,0,8,31
"295","会議",13,1,7,6,1,3,31
"296","皆さん",15,0,7,3,1,5,31
"297","機能",23,0,0,8,0,0,31
"298","教員",0,0,0,31,0,0,31
"299","形",11,0,3,12,3,2,31
"300","三",10,0,7,11,0,3,31
"301","自治体",4,0,12,5,1,9,31
"302","詳細",9,0,0,1,1,20,31
"303","政策",5,0,7,12,0,7,31
"304","創造",7,0,0,23,1,0,31
"305","代表",11,0,5,5,8,2,31
